image,condition,replicate,cell_id,n_nuclei,cell_area_px,nucleus_area_px,cytosol_area_px,Tif6_cell_mean,Tif6_nucleus_mean,Tif6_cytosol_mean,Nsr1_cell_mean,Nsr1_nucleus_mean,Nsr1_cytosol_mean,Sis1_cell_mean,Sis1_nucleus_mean,Sis1_cytosol_mean,Sis1_puncta_n,Sis1_puncta_area_px,Sis1_puncta_mean_intensity,Sis1_diffuse_mean_intensity,Sis1_frac_intensity_in_puncta,Sis1_puncta_integrated_intensity,Sis1_fragmentation_index_simple,Sis1_fragmentation_index_persistence,Tif6_puncta_n,Tif6_puncta_area_px,Tif6_puncta_mean_intensity,Tif6_diffuse_mean_intensity,Tif6_frac_intensity_in_puncta,Tif6_puncta_integrated_intensity,Tif6_fragmentation_index_simple,Tif6_fragmentation_index_persistence,keep,pearson_r_Tif6_vs_Sis1,manders_m1_Tif6_vs_Sis1,manders_m2_Tif6_vs_Sis1,pearson_r_Tif6_vs_Nsr1,manders_m1_Tif6_vs_Nsr1,manders_m2_Tif6_vs_Nsr1,pearson_r_Sis1_vs_Nsr1,manders_m1_Sis1_vs_Nsr1,manders_m2_Sis1_vs_Nsr1,Sis1_mean_distance,Sis1_fraction_proximal,Tif6_mean_distance,Tif6_fraction_proximal,nucleolar_area,nucleolar_solidity,nucleolar_circularity,nucleolar_eccentricity,n_nucleoli
MAX_25deg_rep1.tif,25deg,1,1,0,538,0,538,349.2732238769531,,349.2732238769531,224.9479522705078,,224.9479522705078,294.29180908203125,,294.29180908203125,0,0,,294.29180908203125,0.0,0.0,2,0.43981481481481477,1,4,210.25,350.3146057128906,0.004475570621949986,841.0,5,0.611111111111111,True,0.9609862810879529,0.955840108146674,0.9140572434139019,0.8776414894213006,1.0,1.0,0.8239736433351966,0.9362932822722195,0.9821446810091087,,,15.811388300841896,0.0,46,0.9583333333333334,0.8620554727260598,0.5878095102797997,1
MAX_25deg_rep1.tif,25deg,1,2,0,307,0,307,324.09771728515625,,324.09771728515625,191.15309143066406,,191.15309143066406,253.90553283691406,,253.90553283691406,1,8,197.25,255.42140197753906,0.020244005696032023,1578.0,1,0.6309523809523809,0,0,,324.09771728515625,0.0,0.0,2,0.6481481481481479,True,0.7977777532833245,,,0.7041583599757845,1.0,1.0,0.6583716988501271,0.7686711128258833,1.0,1.0,1.0,,,176,0.7927927927927928,0.34570104804812785,0.5907218629635229,1
MAX_25deg_rep1.tif,25deg,1,3,0,743,0,743,487.23150634765625,,487.23150634765625,246.0713348388672,,246.0713348388672,323.55047607421875,,323.55047607421875,0,0,,323.55047607421875,0.0,0.0,1,0.5317460317460316,0,0,,487.23150634765625,0.0,0.0,1,0.7407407407407407,True,0.8941582440862784,0.7977514651357493,0.9148687989492154,0.8395622154003816,1.0,1.0,0.813489484162496,0.9952372544692121,0.9477926825140742,,,,,68,0.9855072463768116,0.9911729497992781,0.709231174283863,2
MAX_25deg_rep1.tif,25deg,1,4,0,461,0,461,357.8958740234375,,357.8958740234375,216.9587860107422,,216.9587860107422,290.3796081542969,,290.3796081542969,0,0,,290.3796081542969,0.0,0.0,1,0.5416666666666666,0,0,,357.8958740234375,0.0,0.0,1,0.5050505050505051,True,0.9310690944576228,0.8960742901203527,0.6085289256198347,0.8203476880791998,1.0,1.0,0.7587558795886292,0.9501288155491782,0.9663229059241435,,,,,40,0.9523809523809523,0.9595052218168321,0.617869888682087,1
MAX_25deg_rep1.tif,25deg,1,5,0,796,0,796,383.0339050292969,,383.0339050292969,215.84170532226562,,215.84170532226562,324.95855712890625,,324.95855712890625,1,4,195.0,325.6148986816406,0.0030154600316236705,780.0,3,0.6597222222222222,0,0,,383.0339050292969,0.0,0.0,1,0.6313131313131315,True,0.9409895372175521,0.9732305713412127,0.7673234773933155,0.9247646519131568,1.0,1.0,0.8729120828586818,0.8521817758245577,0.9972148272469472,19.4164878389476,0.0,,,68,0.918918918918919,0.8618389216237523,0.7760866141364401,1
MAX_25deg_rep1.tif,25deg,1,6,0,1590,0,1590,448.3339538574219,,448.3339538574219,219.97987365722656,,219.97987365722656,308.4943542480469,,308.4943542480469,1,4,223.5,308.7087097167969,0.001822607674523859,894.0,3,0.4615384615384615,1,13,1167.6153564453125,442.4045715332031,0.021293369862706232,15179.0,2,0.4444444444444444,True,0.9035648473277517,0.8174702291956166,0.9390937009296444,0.8653740932359814,1.0,1.0,0.7526956825218172,0.9482598032932571,0.9763527180783818,19.72308292331602,0.0,0.0,1.0,120,0.9230769230769231,0.8555018707294598,0.7281944919704657,1
MAX_25deg_rep1.tif,25deg,1,7,0,1004,0,1004,399.1294860839844,,399.1294860839844,201.03187561035156,,201.03187561035156,290.7021789550781,,290.7021789550781,0,0,,290.7021789550781,0.0,0.0,1,0.5833333333333334,0,0,,399.1294860839844,0.0,0.0,1,0.4833333333333334,True,0.9110595503359397,0.8612557513581308,0.8640080916727313,0.8978890166248202,1.0,1.0,0.8669895662571669,0.7358029824793514,0.980455459019766,,,,,78,0.9176470588235294,0.8237471140507296,0.8588410004341142,1
MAX_25deg_rep1.tif,25deg,1,8,0,441,0,441,346.8594055175781,,346.8594055175781,195.5487518310547,,195.5487518310547,271.684814453125,,271.684814453125,0,0,,271.684814453125,0.0,0.0,1,0.8253968253968254,0,0,,346.8594055175781,0.0,0.0,1,0.7539682539682541,True,0.9185984327582462,0.7179277755090134,0.418029517351416,0.8557271996211969,1.0,1.0,0.7575325342806964,0.7453826724631694,0.9825390115242524,,,,,48,0.9230769230769231,0.8684042268562892,0.6464714206474477,1
MAX_25deg_rep1.tif,25deg,1,9,0,300,0,300,349.7133483886719,,349.7133483886719,215.51333618164062,,215.51333618164062,247.45333862304688,,247.45333862304688,0,0,,247.45333862304688,0.0,0.0,1,0.3722222222222223,1,7,220.42857360839844,352.80206298828125,0.014707284061231103,1543.0,1,0.7555555555555556,True,0.8965045828727011,0.06689804335797998,0.6586378737541528,0.5224185269147378,1.0,1.0,0.42897328087288916,0.8153953068858956,0.9309101426918627,,,3.0,1.0,128,0.9142857142857143,0.7077573215740557,0.5743068237745604,1
MAX_25deg_rep1.tif,25deg,1,10,0,870,0,870,401.39654541015625,,401.39654541015625,200.99195861816406,,200.99195861816406,259.7919616699219,,259.7919616699219,1,3,230.6666717529297,259.8927307128906,0.003061689503979754,692.0,8,0.3888888888888889,1,8,715.125,398.48492431640625,0.016382457798204544,5721.0,2,0.5427350427350428,True,0.8469267074851657,0.13405681831571753,1.0,0.8313141685258222,0.9993585613447303,1.0,0.8107993345374379,0.861473072255158,0.9413373213984619,2.23606797749979,1.0,0.0,1.0,155,0.8469945355191257,0.6051711901018324,0.7963719271526901,1
